Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-MMU-8957322,"Metabolism of steroids",5,120,0.012932428063368898,0.008371792881583517,0.25952557932908904,19,151,0.019468798349664775,10090,Mus musculus,"P51660;P21614;P07724;Q4LDG0;P53798","P51660;P21614;P07724;Q4LDG0;P53798","R-MMU-193711;R-MMU-194130;R-MMU-209944;R-MMU-193455;R-MMU-193535;R-MMU-191402;R-MMU-193508;R-MMU-194083;R-MMU-194153;R-MMU-194079;R-MMU-191405;R-MMU-193766;R-MMU-194121;R-MMU-192137;R-MMU-159425;R-MMU-209738;R-MMU-192331;R-MMU-193407;R-MMU-8963851"
R-MMU-194068,"Bile acid and bile salt metabolism",3,43,0.0046341200560405214,0.01032271237202076,0.29091577513911626,14,72,0.009283135636926251,10090,Mus musculus,"P51660;P07724;Q4LDG0","P51660;P07724;Q4LDG0","R-MMU-193711;R-MMU-194130;R-MMU-193455;R-MMU-193535;R-MMU-193508;R-MMU-194083;R-MMU-194153;R-MMU-194079;R-MMU-193766;R-MMU-194121;R-MMU-192137;R-MMU-159425;R-MMU-192331;R-MMU-193407"
R-MMU-159418,"Recycling of bile acids and salts",2,15,0.0016165535079211122,0.010774658338485787,0.29091577513911626,6,12,0.0015471892728210418,10090,Mus musculus,"P07724;Q4LDG0","P07724;Q4LDG0","R-MMU-194083;R-MMU-194153;R-MMU-194130;R-MMU-194079;R-MMU-194121;R-MMU-159425"
R-MMU-76002,"Platelet activation, signaling and aggregation",7,254,0.0273736394007975,0.016555064002676145,0.41086412699518293,3,101,0.013022176379577102,10090,Mus musculus,"P07724;Q06194;Q64727;P48036;Q64010;Q08048;P12023","P07724;Q06194;Q64727;P48036;Q64010;Q08048;P12023","R-MMU-482772;R-MMU-481007;R-MMU-372697"
R-MMU-140875,"Common Pathway of Fibrin Clot Formation",2,21,0.0022631749110895573,0.02029117625953869,0.41086412699518293,5,27,0.003481175863847344,10090,Mus musculus,"Q06194;P70458","Q06194;P70458","R-MMU-5607002;R-MMU-140840;R-MMU-140696;R-MMU-140599;R-MMU-5591086"
R-MMU-71403,"Citric acid cycle (TCA cycle)",2,22,0.0023709451449509646,0.02212228875384792,0.41086412699518293,1,17,0.002191851469829809,10090,Mus musculus,"Q9CQA3;Q8K2B3","Q9CQA3;Q8K2B3","R-MMU-70994"
R-MMU-140837,"Intrinsic Pathway of Fibrin Clot Formation",2,23,0.002478715378812372,0.024019212219111075,0.41086412699518293,8,22,0.0028365136668385767,10090,Mus musculus,"Q06194;P70458","Q06194;P70458","R-MMU-158164;R-MMU-9661625;R-MMU-158419;R-MMU-5607043;R-MMU-9670014;R-MMU-158118;R-MMU-158278;R-MMU-158137"
R-MMU-202733,"Cell surface interactions at the vascular wall",6,217,0.023386140747925423,0.025489612475836032,0.41086412699518293,1,58,0.007478081485301702,10090,Mus musculus,"A0A0A6YXN8;K7N6K7;A0A0A6YYP6;P97797;Q1AN91;Q1AN92","A0A0A6YXN8;K7N6K7;A0A0A6YYP6;P97797;Q1AN91;Q1AN92","R-MMU-202703"
R-MMU-193368,"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",2,25,0.002694255846535187,0.028004440397606856,0.41086412699518293,6,29,0.003739040742650851,10090,Mus musculus,"P51660;Q4LDG0","P51660;Q4LDG0","R-MMU-193455;R-MMU-193535;R-MMU-192137;R-MMU-192331;R-MMU-193508;R-MMU-193407"
R-MMU-8875791,"MET activates STAT3",1,3,3.2331070158422246E-4,0.030565964053328787,0.41086412699518293,2,2,2.5786487880350697E-4,10090,Mus musculus,"Q08048","Q08048","R-MMU-8875816;R-MMU-8875817"
R-MMU-390918,"Peroxisomal lipid metabolism",2,28,0.0030175665481194094,0.03443865807052837,0.41086412699518293,6,31,0.003996905621454358,10090,Mus musculus,"P51660;P47934","P51660;P47934","R-MMU-390252;R-MMU-390251;R-MMU-390284;R-MMU-390291;R-MMU-389986;R-MMU-389995"
R-MMU-445355,"Smooth Muscle Contraction",2,30,0.0032331070158422245,0.03901574963246213,0.41086412699518293,4,7,9.025270758122744E-4,10090,Mus musculus,"Q62417;Q64727","Q62417;Q64727","R-MMU-445699;R-MMU-445704;R-MMU-445705;R-MMU-445700"
R-MMU-9036866,"Expression and Processing of Neurotrophins",1,4,4.310809354456299E-4,0.040547713510664773,0.41086412699518293,1,2,2.5786487880350697E-4,10090,Mus musculus,"P23188","P23188","R-MMU-187020"
R-MMU-167060,"NGF processing",1,4,4.310809354456299E-4,0.040547713510664773,0.41086412699518293,1,2,2.5786487880350697E-4,10090,Mus musculus,"P23188","P23188","R-MMU-187020"
R-MMU-209905,"Catecholamine biosynthesis",1,4,4.310809354456299E-4,0.040547713510664773,0.41086412699518293,1,4,5.157297576070139E-4,10090,Mus musculus,"P24529","P24529","R-MMU-209823"
R-MMU-375276,"Peptide ligand-binding receptors",5,186,0.02004526349822179,0.04433461669780303,0.41086412699518293,5,70,0.009025270758122744,10090,Mus musculus,"Q62401;P10601;Q8BMP4;P17515;P12023","Q62401;P10601;Q8BMP4;P17515;P12023","R-MMU-374248;R-MMU-391913;R-MMU-374207;R-MMU-443986;R-MMU-388863"
R-MMU-74713,"IRS activation",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,3,3,3.8679731820526046E-4,10090,Mus musculus,"P01326","P01326","R-MMU-74711;R-MMU-74707;R-MMU-74712"
R-MMU-170984,"ARMS-mediated activation",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,3,3,3.8679731820526046E-4,10090,Mus musculus,"Q64010","Q64010","R-MMU-169905;R-MMU-169895;R-MMU-169904"
R-MMU-8875513,"MET interacts with TNS proteins",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,2,2,2.5786487880350697E-4,10090,Mus musculus,"Q08048","Q08048","R-MMU-8875523;R-MMU-8875531"
R-MMU-8865999,"MET activates PTPN11",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,1,1,1.2893243940175349E-4,10090,Mus musculus,"Q08048","Q08048","R-MMU-8865994"
R-MMU-1912420,"Pre-NOTCH Processing in Golgi",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,2,4,5.157297576070139E-4,10090,Mus musculus,"P23188","P23188","R-MMU-1912372;R-MMU-1912369"
R-MMU-77108,"Utilization of Ketone Bodies",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,1,3,3.8679731820526046E-4,10090,Mus musculus,"Q8QZT1","Q8QZT1","R-MMU-74181"
R-MMU-111457,"Release of apoptotic factors from the mitochondria",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,1,4,5.157297576070139E-4,10090,Mus musculus,"P28661","P28661","R-MMU-6805811"
R-MMU-75158,"TRAIL  signaling",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,1,5,6.446621970087674E-4,10090,Mus musculus,"O35732","O35732","R-MMU-75187"
R-MMU-5662702,"Melanin biosynthesis",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,1,5,6.446621970087674E-4,10090,Mus musculus,"P29812","P29812","R-MMU-5662660"
R-MMU-111469,"SMAC, XIAP-regulated apoptotic response",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,1,6,7.735946364105209E-4,10090,Mus musculus,"P28661","P28661","R-MMU-9627369"
R-MMU-140834,"Extrinsic Pathway of Fibrin Clot Formation",1,5,5.388511693070374E-4,0.05042774584646492,0.41086412699518293,1,8,0.0010314595152140279,10090,Mus musculus,"O54819","O54819","R-MMU-140825"
R-MMU-192105,"Synthesis of bile acids and bile salts",2,35,0.003771958185149262,0.05138580792112468,0.41086412699518293,8,61,0.007864878803506963,10090,Mus musculus,"P51660;Q4LDG0","P51660;Q4LDG0","R-MMU-193711;R-MMU-193455;R-MMU-193766;R-MMU-193535;R-MMU-192137;R-MMU-192331;R-MMU-193508;R-MMU-193407"
R-MMU-163841,"Gamma carboxylation, hypusine formation and arylsulfatase activation",2,36,0.0038797284190106693,0.05400838212078107,0.41086412699518293,10,38,0.004899432697266632,10090,Mus musculus,"Q06194;P23188","Q06194;P23188","R-MMU-6807224;R-MMU-9668023;R-MMU-163798;R-MMU-159728;R-MMU-163843;R-MMU-159771;R-MMU-159796;R-MMU-159773;R-MMU-159868;R-MMU-159733"
R-MMU-450531,"Regulation of mRNA stability by proteins that bind AU-rich elements",3,85,0.009160469878219635,0.058678629714925434,0.41086412699518293,7,25,0.003223310985043837,10090,Mus musculus,"O35226;Q8BFY9;P29341","O35226;Q8BFY9;P29341","R-MMU-450551;R-MMU-450580;R-MMU-450463;R-MMU-450431;R-MMU-450466;R-MMU-450400;R-MMU-450394"
R-MMU-3928665,"EPH-ephrin mediated repulsion of cells",2,38,0.004095268886733484,0.05939209673087664,0.41086412699518293,7,7,9.025270758122744E-4,10090,Mus musculus,"P29319;Q8CBF3","P29319;Q8CBF3","R-MMU-3928628;R-MMU-3928642;R-MMU-3928607;R-MMU-3928604;R-MMU-4093327;R-MMU-3928656;R-MMU-3928657"
R-MMU-6806942,"MET Receptor Activation",1,6,6.466214031684449E-4,0.06020708678901221,0.41086412699518293,5,5,6.446621970087674E-4,10090,Mus musculus,"Q08048","Q08048","R-MMU-6800298;R-MMU-6806974;R-MMU-6800200;R-MMU-6806957;R-MMU-6800299"
R-MMU-8851907,"MET activates PI3K/AKT signaling",1,6,6.466214031684449E-4,0.06020708678901221,0.41086412699518293,5,5,6.446621970087674E-4,10090,Mus musculus,"Q08048","Q08048","R-MMU-8851908;R-MMU-8851933;R-MMU-8851954;R-MMU-8852019;R-MMU-8851919"
R-MMU-879415,"Advanced glycosylation endproduct receptor signaling",1,6,6.466214031684449E-4,0.06020708678901221,0.41086412699518293,1,2,2.5786487880350697E-4,10090,Mus musculus,"P12023","P12023","R-MMU-879411"
R-MMU-8875878,"MET promotes cell motility",2,40,0.004310809354456299,0.06495256811865147,0.41086412699518293,12,12,0.0015471892728210418,10090,Mus musculus,"Q64010;Q08048","Q64010;Q08048","R-MMU-8875568;R-MMU-8874082;R-MMU-8874078;R-MMU-8874079;R-MMU-8875523;R-MMU-8874080;R-MMU-8875558;R-MMU-8875591;R-MMU-8875540;R-MMU-8874083;R-MMU-8875576;R-MMU-8875531"
R-MMU-8937144,"Aryl hydrocarbon receptor signalling",1,7,7.543916370298524E-4,0.06988675183198534,0.41086412699518293,4,5,6.446621970087674E-4,10090,Mus musculus,"P30561","P30561","R-MMU-8937177;R-MMU-8937169;R-MMU-8936849;R-MMU-8937191"
R-MMU-1912422,"Pre-NOTCH Expression and Processing",1,7,7.543916370298524E-4,0.06988675183198534,0.41086412699518293,2,5,6.446621970087674E-4,10090,Mus musculus,"P23188","P23188","R-MMU-1912372;R-MMU-1912369"
R-MMU-5632681,"Ligand-receptor interactions",1,7,7.543916370298524E-4,0.06988675183198534,0.41086412699518293,1,3,3.8679731820526046E-4,10090,Mus musculus,"Q7TN16","Q7TN16","R-MMU-445448"
R-MMU-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",2,43,0.0046341200560405214,0.07360437185516622,0.41086412699518293,20,25,0.003223310985043837,10090,Mus musculus,"Q64010;P01587","Q64010;P01587","R-MMU-913424;R-MMU-913374;R-MMU-912734;R-MMU-879934;R-MMU-921155;R-MMU-914036;R-MMU-913451;R-MMU-879930;R-MMU-453104;R-MMU-912757;R-MMU-879910;R-MMU-912790;R-MMU-879909;R-MMU-879942;R-MMU-914182;R-MMU-909738;R-MMU-879907;R-MMU-912527;R-MMU-453111;R-MMU-508247"
R-MMU-1566948,"Elastic fibre formation",2,43,0.0046341200560405214,0.07360437185516622,0.41086412699518293,2,16,0.0020629190304280558,10090,Mus musculus,"P23188;P29788","P23188;P29788","R-MMU-2161282;R-MMU-2129357"
R-MMU-196791,"Vitamin D (calciferol) metabolism",1,8,8.621618708912598E-4,0.07946774633543141,0.41086412699518293,3,8,0.0010314595152140279,10090,Mus musculus,"P21614","P21614","R-MMU-209944;R-MMU-209738;R-MMU-8963851"
R-MMU-77111,"Synthesis of Ketone Bodies",1,8,8.621618708912598E-4,0.07946774633543141,0.41086412699518293,1,8,0.0010314595152140279,10090,Mus musculus,"Q8QZT1","Q8QZT1","R-MMU-73916"
R-MMU-1483115,"Hydrolysis of LPC",1,9,9.699321047526673E-4,0.08895106562585298,0.41086412699518293,1,5,6.446621970087674E-4,10090,Mus musculus,"Q8VEB4","Q8VEB4","R-MMU-8952251"
R-MMU-71384,"Ethanol oxidation",1,9,9.699321047526673E-4,0.08895106562585298,0.41086412699518293,1,7,9.025270758122744E-4,10090,Mus musculus,"Q9QXG4","Q9QXG4","R-MMU-71735"
R-MMU-9609507,"Protein localization",3,104,0.011208104321586377,0.09376087446481263,0.41086412699518293,3,20,0.0025786487880350697,10090,Mus musculus,"P51660;P47934;P12023","P51660;P47934;P12023","R-MMU-9033235;R-MMU-9033236;R-MMU-9617595"
R-MMU-380108,"Chemokine receptors bind chemokines",2,50,0.005388511693070374,0.09509016036397278,0.41086412699518293,2,17,0.002191851469829809,10090,Mus musculus,"Q62401;P17515","Q62401;P17515","R-MMU-374248;R-MMU-443986"
R-MMU-556833,"Metabolism of lipids",10,608,0.06552430218773575,0.09808768517676303,0.41086412699518293,33,662,0.0853532748839608,10090,Mus musculus,"P51660;P21614;P07724;O55229;Q9QY80;Q4LDG0;P47934;Q8VEB4;P53798;Q8QZT1","P51660;P21614;P07724;O55229;Q9QY80;Q4LDG0;P47934;Q8VEB4;P53798;Q8QZT1","R-MMU-73916;R-MMU-193711;R-MMU-194130;R-MMU-193455;R-MMU-193535;R-MMU-390284;R-MMU-390291;R-MMU-193508;R-MMU-194083;R-MMU-390252;R-MMU-194079;R-MMU-2066780;R-MMU-191405;R-MMU-390251;R-MMU-74181;R-MMU-194121;R-MMU-192331;R-MMU-193407;R-MMU-8952251;R-MMU-209944;R-MMU-5676637;R-MMU-2066778;R-MMU-191402;R-MMU-389986;R-MMU-389995;R-MMU-1483004;R-MMU-194153;R-MMU-1483222;R-MMU-193766;R-MMU-192137;R-MMU-159425;R-MMU-209738;R-MMU-8963851"
R-MMU-3000178,"ECM proteoglycans",2,51,0.005496281926931782,0.098292688521888,0.41086412699518293,4,15,0.0019339865910263023,10090,Mus musculus,"P12023;P29788","P12023;P29788","R-MMU-2426471;R-MMU-2396079;R-MMU-2467665;R-MMU-2396370"
R-MMU-159782,"Removal of aminoterminal propeptides from gamma-carboxylated proteins",1,10,0.0010777023386140748,0.09833769509525725,0.41086412699518293,9,9,0.0011603919546157814,10090,Mus musculus,"P23188","P23188","R-MMU-6807224;R-MMU-163798;R-MMU-159728;R-MMU-163843;R-MMU-159771;R-MMU-159796;R-MMU-159773;R-MMU-159868;R-MMU-159733"
R-MMU-3371378,"Regulation by c-FLIP",1,10,0.0010777023386140748,0.09833769509525725,0.41086412699518293,4,4,5.157297576070139E-4,10090,Mus musculus,"O35732","O35732","R-MMU-3465459;R-MMU-3371360;R-MMU-3465448;R-MMU-3371359"
R-MMU-69416,"Dimerization of procaspase-8",1,10,0.0010777023386140748,0.09833769509525725,0.41086412699518293,3,3,3.8679731820526046E-4,10090,Mus musculus,"O35732","O35732","R-MMU-73945;R-MMU-141156;R-MMU-141159"
R-MMU-5218900,"CASP8 activity is inhibited",1,10,0.0010777023386140748,0.09833769509525725,0.41086412699518293,2,2,2.5786487880350697E-4,10090,Mus musculus,"O35732","O35732","R-MMU-3465429;R-MMU-5675456"
R-MMU-2151201,"Transcriptional activation of mitochondrial biogenesis",1,10,0.0010777023386140748,0.09833769509525725,0.41086412699518293,1,4,5.157297576070139E-4,10090,Mus musculus,"Q9QXG4","Q9QXG4","R-MMU-5688289"
R-MMU-74749,"Signal attenuation",1,10,0.0010777023386140748,0.09833769509525725,0.41086412699518293,1,5,6.446621970087674E-4,10090,Mus musculus,"P01326","P01326","R-MMU-110011"
R-MMU-428643,"Organic anion transporters",1,10,0.0010777023386140748,0.09833769509525725,0.41086412699518293,1,9,0.0011603919546157814,10090,Mus musculus,"Q8BN82","Q8BN82","R-MMU-428585"
R-MMU-71406,"Pyruvate metabolism and Citric Acid (TCA) cycle",2,52,0.005604052160793189,0.10152553481623039,0.41086412699518293,1,35,0.004512635379061372,10090,Mus musculus,"Q9CQA3;Q8K2B3","Q9CQA3;Q8K2B3","R-MMU-70994"
R-MMU-8851805,"MET activates RAS signaling",1,11,0.0011854725724754823,0.10762861029929705,0.41086412699518293,10,10,0.0012893243940175349,10090,Mus musculus,"Q08048","Q08048","R-MMU-8851866;R-MMU-8851877;R-MMU-8851827;R-MMU-8851899;R-MMU-8851859;R-MMU-8851900;R-MMU-8851804;R-MMU-8851890;R-MMU-8851842;R-MMU-8851888"
R-MMU-112308,"Presynaptic depolarization and calcium channel opening",1,11,0.0011854725724754823,0.10762861029929705,0.41086412699518293,1,1,1.2893243940175349E-4,10090,Mus musculus,"P97445","P97445","R-MMU-210420"
R-MMU-159854,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",1,11,0.0011854725724754823,0.10762861029929705,0.41086412699518293,9,26,0.0033522434244455906,10090,Mus musculus,"P23188","P23188","R-MMU-6807224;R-MMU-163798;R-MMU-159728;R-MMU-163843;R-MMU-159771;R-MMU-159796;R-MMU-159773;R-MMU-159868;R-MMU-159733"
R-MMU-879518,"Transport of organic anions",1,11,0.0011854725724754823,0.10762861029929705,0.41086412699518293,3,9,0.0011603919546157814,10090,Mus musculus,"P07724","P07724","R-MMU-194083;R-MMU-194130;R-MMU-194079"
R-MMU-74182,"Ketone body metabolism",1,11,0.0011854725724754823,0.10762861029929705,0.41086412699518293,2,11,0.0014182568334192883,10090,Mus musculus,"Q8QZT1","Q8QZT1","R-MMU-73916;R-MMU-74181"
R-MMU-390247,"Beta-oxidation of very long chain fatty acids",1,11,0.0011854725724754823,0.10762861029929705,0.41086412699518293,2,11,0.0014182568334192883,10090,Mus musculus,"P51660","P51660","R-MMU-390252;R-MMU-390251"
R-MMU-8963889,"Assembly of active LPL and LIPC lipase complexes",1,11,0.0011854725724754823,0.10762861029929705,0.41086412699518293,1,9,0.0011603919546157814,10090,Mus musculus,"P23188","P23188","R-MMU-6784628"
R-MMU-450408,"AUF1 (hnRNP D0) binds and destabilizes mRNA",2,55,0.005927362862377411,0.11139659118628509,0.41086412699518293,3,4,5.157297576070139E-4,10090,Mus musculus,"O35226;P29341","O35226;P29341","R-MMU-450551;R-MMU-450580;R-MMU-450466"
R-MMU-202403,"TCR signaling",3,113,0.012178036426339045,0.11279278979581253,0.41086412699518293,11,49,0.00631768953068592,10090,Mus musculus,"O35226;P29352;O89100","O35226;P29352;O89100","R-MMU-202248;R-MMU-202331;R-MMU-5607724;R-MMU-202216;R-MMU-202241;R-MMU-213407;R-MMU-202325;R-MMU-8855381;R-MMU-202375;R-MMU-8852200;R-MMU-8855375"
R-MMU-444473,"Formyl peptide receptors bind formyl peptides and many other ligands",1,12,0.0012932428063368898,0.11682477705435568,0.41086412699518293,1,3,3.8679731820526046E-4,10090,Mus musculus,"P12023","P12023","R-MMU-391913"
R-MMU-8866427,"VLDLR internalisation and degradation",1,12,0.0012932428063368898,0.11682477705435568,0.41086412699518293,1,4,5.157297576070139E-4,10090,Mus musculus,"Q8BM54","Q8BM54","R-MMU-8854628"
R-MMU-2046106,"alpha-linolenic acid (ALA) metabolism",1,12,0.0012932428063368898,0.11682477705435568,0.41086412699518293,2,12,0.0015471892728210418,10090,Mus musculus,"P51660","P51660","R-MMU-2066780;R-MMU-2066778"
R-MMU-1483213,"Synthesis of PE",1,12,0.0012932428063368898,0.11682477705435568,0.41086412699518293,1,6,7.735946364105209E-4,10090,Mus musculus,"O55229","O55229","R-MMU-1483222"
R-MMU-2046104,"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism",1,12,0.0012932428063368898,0.11682477705435568,0.41086412699518293,2,20,0.0025786487880350697,10090,Mus musculus,"P51660","P51660","R-MMU-2066780;R-MMU-2066778"
R-MMU-186797,"Signaling by PDGF",2,58,0.0062506735639616335,0.12150735930866219,0.41086412699518293,5,30,0.0038679731820526046,10090,Mus musculus,"Q64010;P23188","Q64010;P23188","R-MMU-186785;R-MMU-382056;R-MMU-8865276;R-MMU-382052;R-MMU-8865275"
R-MMU-75205,"Dissolution of Fibrin Clot",1,13,0.0014010130401982972,0.12592715153378042,0.41086412699518293,1,18,0.0023207839092315627,10090,Mus musculus,"Q60854","Q60854","R-MMU-159001"
R-MMU-264876,"Insulin processing",1,14,0.0015087832740597047,0.13493668036311768,0.41086412699518293,4,8,0.0010314595152140279,10090,Mus musculus,"P01326","P01326","R-MMU-265153;R-MMU-265010;R-MMU-264976;R-MMU-264997"
R-MMU-933542,"TRAF6 mediated NF-kB activation",1,14,0.0015087832740597047,0.13493668036311768,0.41086412699518293,1,2,2.5786487880350697E-4,10090,Mus musculus,"P12023","P12023","R-MMU-168166"
R-MMU-169893,"Prolonged ERK activation events",1,14,0.0015087832740597047,0.13493668036311768,0.41086412699518293,3,13,0.0016761217122227953,10090,Mus musculus,"Q64010","Q64010","R-MMU-169905;R-MMU-169895;R-MMU-169904"
R-MMU-8849471,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",1,14,0.0015087832740597047,0.13493668036311768,0.41086412699518293,2,13,0.0016761217122227953,10090,Mus musculus,"Q64010","Q64010","R-MMU-8848611;R-MMU-8848618"
R-MMU-189483,"Heme degradation",1,14,0.0015087832740597047,0.13493668036311768,0.41086412699518293,2,14,0.0018050541516245488,10090,Mus musculus,"P07724","P07724","R-MMU-9661425;R-MMU-9661432"
R-MMU-111471,"Apoptotic factor-mediated response",1,14,0.0015087832740597047,0.13493668036311768,0.41086412699518293,2,20,0.0025786487880350697,10090,Mus musculus,"P28661","P28661","R-MMU-6805811;R-MMU-9627369"
R-MMU-189451,"Heme biosynthesis",1,14,0.0015087832740597047,0.13493668036311768,0.41086412699518293,1,16,0.0020629190304280558,10090,Mus musculus,"P07724","P07724","R-MMU-9661419"
R-MMU-9033241,"Peroxisomal protein import",2,64,0.006897294967130078,0.14235526723318348,0.41086412699518293,2,14,0.0018050541516245488,10090,Mus musculus,"P51660;P47934","P51660;P47934","R-MMU-9033235;R-MMU-9033236"
R-MMU-140534,"Caspase activation via Death Receptors in the presence of ligand",1,15,0.0016165535079211122,0.14385430071447436,0.41086412699518293,7,8,0.0010314595152140279,10090,Mus musculus,"O35732","O35732","R-MMU-73945;R-MMU-3465459;R-MMU-141156;R-MMU-3371360;R-MMU-3465448;R-MMU-141159;R-MMU-3371359"
