pro	gene_dsi	gene_dpi	gene_pli	disease_name	score	ei	el	source
P05067	0.422	0.846	0.046544	Infarction, Middle Cerebral Artery	0.2	1.0	None	ANIMAL_MODELS
Q03060	0.575	0.692	0.50878	Transient Ischemic Attack	0.2	1.0	None	ANIMAL_MODELS
P06850	0.439	0.808	0.71614	Brain Ischemia	0.2	1.0	None	ANIMAL_MODELS
P06850	0.439	0.808	0.71614	Infarction, Middle Cerebral Artery	0.2	1.0	None	ANIMAL_MODELS
P02774	0.489	0.885	2.7301e-11	Brain Ischemia	0.2	1.0	None	ANIMAL_MODELS
P14210	0.374	0.885	0.99947	Brain Infarction	0.2	1.0	None	ANIMAL_MODELS
P51659	0.546	0.654	2.4175e-10	Hypertensive disease	0.2	1.0	None	ANIMAL_MODELS
P02778	0.378	0.885	0.36865	Hypertension, Renovascular	0.2	1.0	None	ANIMAL_MODELS
P02778	0.378	0.885	0.36865	Reperfusion Injury	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Transient Ischemic Attack	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Diabetic Angiopathies	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Granulomatous Angiitis	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Cardiomyopathies, Primary	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Pulmonary Embolism	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Myocardial Diseases, Secondary	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Venous Thrombosis	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Chronic myocardial ischemia	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Endomyocardial Fibrosis	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Vasospasm, Intracranial	0.2	1.0	None	ANIMAL_MODELS
P13500	0.321	0.962	0.60786	Hypoxia-Ischemia, Brain	0.2	1.0	None	ANIMAL_MODELS
P23975	0.49	0.846	0.081524	Other heart block	0.2	None	None	ANIMAL_MODELS
P10646	0.486	0.808	0.2477	Atrial Fibrillation	0.2	1.0	None	ANIMAL_MODELS
P10646	0.486	0.808	0.2477	Pregnancy associated hypertension	0.2	1.0	None	ANIMAL_MODELS
P07101	0.462	0.885	1.6878e-06	Brain Ischemia	0.2	1.0	None	ANIMAL_MODELS
P07101	0.462	0.885	1.6878e-06	Infarction, Middle Cerebral Artery	0.2	1.0	None	ANIMAL_MODELS
P04004	0.509	0.769	1.5014e-10	Diabetic Retinopathy	0.2	1.0	None	ANIMAL_MODELS
O15519	0.485	0.846	0.99967	Myocardial Reperfusion Injury	0.2	1.0	None	ANIMAL_MODELS
P05067	0.422	0.846	0.046544	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED	0.7	1.0	None	CURATED
P18206	0.575	0.654	0.046788	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 15	0.7	1.0	strong	CURATED
P05067	0.422	0.846	0.046544	Cerebral hemorrhage with amyloidosis, hereditary, Dutch type	0.6	1.0	None	CURATED
P78347	0.5	0.808	0.99592	Williams Syndrome	0.6	0.975	None	CURATED
P13500	0.321	0.962	0.60786	Coronary Arteriosclerosis	0.6	0.955	None	CURATED
P13500	0.321	0.962	0.60786	Hypertensive disease	0.6	1.0	None	CURATED
P18206	0.575	0.654	0.046788	Cardiomyopathy, Dilated, 1w	0.6	1.0	strong	CURATED
P13500	0.321	0.962	0.60786	Congestive heart failure	0.59	0.909	None	CURATED
P07101	0.462	0.885	1.6878e-06	Hypertensive disease	0.58	0.9	None	CURATED
P01308	0.445	0.923	0.30091	Hypertensive disease	0.57	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Heart failure	0.56	0.875	None	CURATED
P13500	0.321	0.962	0.60786	Myocardial Ischemia	0.55	0.875	None	CURATED
P02778	0.378	0.885	0.36865	Brain Ischemia	0.51	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Brain Ischemia	0.51	1.0	None	CURATED
P05067	0.422	0.846	0.046544	Cerebral Amyloid Angiopathy	0.5	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Myocardial Reperfusion Injury	0.5	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Reperfusion Injury	0.5	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Cerebral Ischemia	0.5	1.0	None	CURATED
P05067	0.422	0.846	0.046544	Cerebrovascular accident	0.49	1.0	strong	CURATED
P18206	0.575	0.654	0.046788	Cardiomyopathies	0.48	1.0	None	CURATED
P18206	0.575	0.654	0.046788	Hypertrophic Cardiomyopathy	0.44	1.0	limited	CURATED
P02768	0.317	0.962	0.64329	Cardiovascular Diseases	0.4	0.965	None	CURATED
P02768	0.317	0.962	0.64329	Heart failure	0.4	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Congestive heart failure	0.4	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Hypertensive disease	0.4	0.947	None	CURATED
P02768	0.317	0.962	0.64329	Hypotension	0.4	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Cerebrovascular accident	0.4	0.958	None	CURATED
P29320	0.497	0.692	1.1953e-05	Atrial Fibrillation	0.4	1.0	None	CURATED
P78347	0.5	0.808	0.99592	Atrial Fibrillation	0.4	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Atherosclerosis	0.4	0.979	None	CURATED
P13500	0.321	0.962	0.60786	Cardiovascular Diseases	0.4	0.952	None	CURATED
P13500	0.321	0.962	0.60786	Coronary Artery Disease	0.4	0.833	None	CURATED
P31040	0.517	0.731	2.6088e-10	Cardiomyopathy, Dilated	0.4	None	None	CURATED
Q13522	0.559	0.692	0.021894	Congestive heart failure	0.39	1.0	None	CURATED
Q13522	0.559	0.692	0.021894	Heart failure	0.38	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Carotid Atherosclerosis	0.38	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Multiple Myeloma	0.37	1.0	None	CURATED
P10646	0.486	0.808	0.2477	Deep Vein Thrombosis	0.37	0.875	None	CURATED
P35869	0.41	0.923	0.99999	Hypertensive disease	0.36	1.0	None	CURATED
P14210	0.374	0.885	0.99947	Myocardial Ischemia	0.36	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Middle Cerebral Artery Occlusion	0.36	1.0	None	CURATED
P23975	0.49	0.846	0.081524	Hypertensive disease	0.36	0.857	None	CURATED
P35869	0.41	0.923	0.99999	Atherosclerosis	0.35	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Heart Diseases	0.35	1.0	None	CURATED
P04141	0.33	0.962	0.83468	Congestive heart failure	0.34	1.0	None	CURATED
Q9Y2R2	0.438	0.846	3.4921e-21	Giant Cell Arteritis	0.34	0.75	None	CURATED
P02768	0.317	0.962	0.64329	Acute Cerebrovascular Accidents	0.33	1.0	None	CURATED
P00451	0.542	0.769	1.0	Venous Thrombosis	0.33	1.0	None	CURATED
P14210	0.374	0.885	0.99947	Cardiomyopathies	0.33	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Carotid Artery Diseases	0.33	1.0	None	CURATED
Q9Y2R2	0.438	0.846	3.4921e-21	Granulomatosis with polyangiitis	0.33	0.75	None	CURATED
P35869	0.41	0.923	0.99999	Behcet Syndrome	0.32	1.0	None	CURATED
P35869	0.41	0.923	0.99999	Congenital Heart Defects	0.32	1.0	None	CURATED
P04141	0.33	0.962	0.83468	Heart failure	0.32	1.0	None	CURATED
P04141	0.33	0.962	0.83468	Multiple Myeloma	0.32	1.0	None	CURATED
Q13522	0.559	0.692	0.021894	Cardiac Arrhythmia	0.32	1.0	None	CURATED
P10646	0.486	0.808	0.2477	Venous Thrombosis	0.32	1.0	None	CURATED
P35869	0.41	0.923	0.99999	Left Ventricular Hypertrophy	0.31	1.0	None	CURATED
P05067	0.422	0.846	0.046544	Sporadic Cerebral Amyloid Angiopathy	0.31	1.0	None	CURATED
P05067	0.422	0.846	0.046544	Ischemic stroke	0.31	1.0	strong	CURATED
P46108	0.394	0.923	0.95936	Myocardial Ischemia	0.31	1.0	None	CURATED
P02778	0.378	0.885	0.36865	Myocardial Ischemia	0.31	0.5	None	CURATED
P31040	0.517	0.731	2.6088e-10	Cardiomyopathy, Familial Idiopathic	0.31	1.0	None	CURATED
P35869	0.41	0.923	0.99999	Cardiomegaly	0.3	1.0	None	CURATED
P35869	0.41	0.923	0.99999	Tachycardia	0.3	1.0	None	CURATED
P35869	0.41	0.923	0.99999	Vascular Diseases	0.3	1.0	None	CURATED
P35869	0.41	0.923	0.99999	Tachyarrhythmia	0.3	1.0	None	CURATED
P35869	0.41	0.923	0.99999	Cardiac Hypertrophy	0.3	1.0	None	CURATED
P35869	0.41	0.923	0.99999	Atherogenesis	0.3	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Angioedema	0.3	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Brain Ischemia	0.3	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Diabetic Angiopathies	0.3	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Left-Sided Heart Failure	0.3	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Microangiopathy, Diabetic	0.3	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Myocardial Reperfusion Injury	0.3	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Heart Failure, Right-Sided	0.3	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Cerebral Ischemia	0.3	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Myocardial Failure	0.3	1.0	None	CURATED
P02768	0.317	0.962	0.64329	Heart Decompensation	0.3	1.0	None	CURATED
P05067	0.422	0.846	0.046544	Cardiomyopathies, Primary	0.3	1.0	None	CURATED
P05067	0.422	0.846	0.046544	Myocardial Diseases, Secondary	0.3	1.0	None	CURATED
P05067	0.422	0.846	0.046544	Brain hemorrhage	0.3	1.0	strong	CURATED
P05067	0.422	0.846	0.046544	Cardiomyopathies	0.3	1.0	None	CURATED
P05067	0.422	0.846	0.046544	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, ARCTIC VARIANT	0.3	1.0	None	CURATED
P05067	0.422	0.846	0.046544	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, FLEMISH VARIANT	0.3	1.0	None	CURATED
P05067	0.422	0.846	0.046544	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, ITALIAN VARIANT	0.3	1.0	None	CURATED
P05067	0.422	0.846	0.046544	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, IOWA VARIANT	0.3	1.0	None	CURATED
Q03060	0.575	0.692	0.50878	Diabetic Angiopathies	0.3	1.0	None	CURATED
Q03060	0.575	0.692	0.50878	Microangiopathy, Diabetic	0.3	1.0	None	CURATED
Q03060	0.575	0.692	0.50878	Myocardial Infarction	0.3	1.0	None	CURATED
P06850	0.439	0.808	0.71614	Hypotension	0.3	1.0	None	CURATED
P06850	0.439	0.808	0.71614	Pituitary Apoplexy	0.3	1.0	None	CURATED
P06850	0.439	0.808	0.71614	Bradycardia	0.3	1.0	None	CURATED
P04141	0.33	0.962	0.83468	Left-Sided Heart Failure	0.3	1.0	None	CURATED
P04141	0.33	0.962	0.83468	Venous Thrombosis	0.3	1.0	None	CURATED
P04141	0.33	0.962	0.83468	Deep Vein Thrombosis	0.3	1.0	None	CURATED
P04141	0.33	0.962	0.83468	Heart Failure, Right-Sided	0.3	1.0	None	CURATED
P04141	0.33	0.962	0.83468	Myocardial Failure	0.3	1.0	None	CURATED
P04141	0.33	0.962	0.83468	Heart Decompensation	0.3	1.0	None	CURATED
P29320	0.497	0.692	1.1953e-05	Paroxysmal atrial fibrillation	0.3	1.0	None	CURATED
P29320	0.497	0.692	1.1953e-05	Persistent atrial fibrillation	0.3	1.0	None	CURATED
P29320	0.497	0.692	1.1953e-05	familial atrial fibrillation	0.3	1.0	None	CURATED
P00451	0.542	0.769	1.0	Deep Vein Thrombosis	0.3	1.0	None	CURATED
P78347	0.5	0.808	0.99592	Paroxysmal atrial fibrillation	0.3	1.0	None	CURATED
P78347	0.5	0.808	0.99592	Persistent atrial fibrillation	0.3	1.0	None	CURATED
P78347	0.5	0.808	0.99592	familial atrial fibrillation	0.3	1.0	None	CURATED
P14210	0.374	0.885	0.99947	Cardiomyopathies, Primary	0.3	1.0	None	CURATED
P14210	0.374	0.885	0.99947	Reperfusion Injury	0.3	1.0	None	CURATED
P14210	0.374	0.885	0.99947	Myocardial Diseases, Secondary	0.3	1.0	None	CURATED
P14210	0.374	0.885	0.99947	Thrombosis	0.3	1.0	None	CURATED
P14210	0.374	0.885	0.99947	Vascular Diseases	0.3	1.0	None	CURATED
P14210	0.374	0.885	0.99947	Thrombus	0.3	1.0	None	CURATED
P02778	0.378	0.885	0.36865	Cerebral Ischemia	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Hypertrophic Cardiomyopathy	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Cardiac Arrest	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Heart failure	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Congestive heart failure	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Hypotension	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Left-Sided Heart Failure	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Ventricular Outflow Obstruction, Left	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Ventricular Outflow Obstruction, Right	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Tachycardia	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Ventricular Fibrillation	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Ventricular Outflow Obstruction	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Tachyarrhythmia	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Heart Failure, Right-Sided	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Ventricular Dysfunction, Left	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Cardiopulmonary Arrest	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Diabetic Cardiomyopathies	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Myocardial Failure	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Heart Decompensation	0.3	1.0	None	CURATED
P01308	0.445	0.923	0.30091	Hypertrophic obstructive cardiomyopathy	0.3	1.0	None	CURATED
O00592	0.551	0.731	0.0010333	Carotid Artery Diseases	0.3	1.0	None	CURATED
O00592	0.551	0.731	0.0010333	Thrombosis	0.3	1.0	None	CURATED
O00592	0.551	0.731	0.0010333	Thrombus	0.3	1.0	None	CURATED
O00592	0.551	0.731	0.0010333	Carotid Atherosclerosis	0.3	1.0	None	CURATED
O00592	0.551	0.731	0.0010333	External Carotid Artery Diseases	0.3	1.0	None	CURATED
O00592	0.551	0.731	0.0010333	Internal Carotid Artery Diseases	0.3	1.0	None	CURATED
O00592	0.551	0.731	0.0010333	Arterial Diseases, Common Carotid	0.3	1.0	None	CURATED
Q13522	0.559	0.692	0.021894	Left-Sided Heart Failure	0.3	1.0	None	CURATED
Q13522	0.559	0.692	0.021894	Cardiomyopathies, Primary	0.3	1.0	None	CURATED
Q13522	0.559	0.692	0.021894	Myocardial Diseases, Secondary	0.3	1.0	None	CURATED
Q13522	0.559	0.692	0.021894	Heart Failure, Right-Sided	0.3	1.0	None	CURATED
Q13522	0.559	0.692	0.021894	Cardiomyopathies	0.3	1.0	None	CURATED
Q13522	0.559	0.692	0.021894	Myocardial Failure	0.3	1.0	None	CURATED
Q13522	0.559	0.692	0.021894	Heart Decompensation	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Heart valve disease	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Left-Sided Heart Failure	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Heart Failure, Right-Sided	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Middle Cerebral Artery Syndrome	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	External Carotid Artery Diseases	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Middle Cerebral Artery Thrombosis	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Infarction, Middle Cerebral Artery	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Internal Carotid Artery Diseases	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Arterial Diseases, Common Carotid	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Middle Cerebral Artery Embolus	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Left Middle Cerebral Artery Infarction	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Embolic Infarction, Middle Cerebral Artery	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Thrombotic Infarction, Middle Cerebral Artery	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Right Middle Cerebral Artery Infarction	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Cardiotoxicity	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Atherogenesis	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Myocardial Failure	0.3	1.0	None	CURATED
P13500	0.321	0.962	0.60786	Heart Decompensation	0.3	1.0	None	CURATED
P31040	0.517	0.731	2.6088e-10	Familial dilated cardiomyopathy	0.3	1.0	None	CURATED
P04278	0.438	0.808	1.2538e-06	Cardiomyopathy, Dilated	0.3	1.0	None	CURATED
P04278	0.438	0.808	1.2538e-06	Cardiomyopathy, Familial Idiopathic	0.3	1.0	None	CURATED
P23975	0.49	0.846	0.081524	Mitral Valve Prolapse Syndrome	0.3	1.0	None	CURATED
P07101	0.462	0.885	1.6878e-06	Heart Diseases	0.3	1.0	None	CURATED
P18206	0.575	0.654	0.046788	Familial dilated cardiomyopathy	0.3	1.0	None	CURATED
P18206	0.575	0.654	0.046788	Acute Coronary Syndrome	0.3	1.0	None	CURATED
Q9Y2I1	0.656	0.577	0.99443	Hypotension	0.3	1.0	None	CURATED
Q9Y2I1	0.656	0.577	0.99443	Bradycardia	0.3	1.0	None	CURATED
Q9Y2R2	0.438	0.846	3.4921e-21	Temporal Arteritis	0.3	1.0	None	CURATED
